timestamp,ax,ay,az,lap_id,is_swimming
0.0,-0.00144,0.37904,-0.00111,1,1
0.05,0.00659,0.37948,-0.00869,1,1
0.1,0.00247,0.37804,0.01039,1,1
0.15,-0.00012,0.38296,0.03045,1,1
0.2,0.00487,0.38164,0.01767,1,1
0.25,-0.01227,0.38287,0.04437,1,1
0.3,-0.00213,0.37919,0.04274,1,1
0.35,-0.01751,0.37694,0.04845,1,1
0.4,0.00534,0.37744,0.05338,1,1
0.45,-0.00133,0.38742,0.04449,1,1
0.5,0.00145,0.36418,0.03536,1,1
0.55,-0.01072,0.36986,0.07619,1,1
0.6,0.00158,0.3665,0.08169,1,1
0.65,-0.0155,0.37746,0.07597,1,1
0.7,-0.00475,0.38612,0.09089,1,1
0.75,-0.00281,0.38401,0.09478,1,1
0.8,-0.01299,0.36989,0.09069,1,1
0.85,-0.00213,0.37409,0.12401,1,1
0.9,-0.01572,0.3651,0.11349,1,1
0.95,0.00628,0.38061,0.11918,1,1
1.0,0.00593,0.37405,0.10147,1,1
1.05,-0.01405,0.38392,0.10601,1,1
1.1,-0.00879,0.37631,0.12188,1,1
1.15,-0.00229,0.37894,0.1527,1,1
1.2,-0.00371,0.36636,0.12815,1,1
1.25,-0.01861,0.38127,0.13222,1,1
1.3,-0.01139,0.37851,0.13461,1,1
1.35,-0.014,0.35184,0.1348,1,1
1.4,-0.01712,0.37362,0.16116,1,1
1.45,-0.012,0.37126,0.15433,1,1
1.5,-0.00134,0.37673,0.15862,1,1
1.55,-0.02266,0.37596,0.16274,1,1
1.6,-0.00064,0.36572,0.18131,1,1
1.65,-0.01686,0.38102,0.16559,1,1
1.7,-0.01879,0.35285,0.16538,1,1
1.75,0.00026,0.37131,0.17603,1,1
1.8,-0.03808,0.36925,0.17675,1,1
1.85,-0.02017,0.35482,0.173,1,1
1.9,0.00225,0.34948,0.17038,1,1
1.95,-0.00172,0.35447,0.17242,1,1
2.0,-0.01469,0.3454,0.17946,1,1
2.05,-0.02808,0.36551,0.17828,1,1
2.1,0.00653,0.35829,0.19267,1,1
2.15,-0.02965,0.35306,0.18279,1,1
2.2,0.00053,0.33624,0.1898,1,1
2.25,-0.01132,0.36712,0.18712,1,1
2.3,-0.01701,0.34529,0.16741,1,1
2.35,-0.01587,0.34727,0.19976,1,1
2.4,-0.02422,0.35106,0.16332,1,1
